Name,Company,Built,Capacity,Crew,EnrouteDuration,OriginPort,OriginCountry,DestinationPort,DestinationCountry
Sit Ipsum,CMA CGM,2012,10700,Thailand,79,Shenzhen,China,Singapore,Singapore
Distinctio Qui,SM Line,1951,6500,Jersey,35,Salalah,Oman,Shenzhen,China
Explicabo Deserunt,CMA CGM,1962,11600,Reunion,119,Ningbo-Zhoushan,China,Marsaxlokk,Malta
Expedita Alias,Zim Integrated Shipping Services,1989,12700,Saint Pierre and Miquelon,47,Shenzhen,China,Tanjung Pelepas,Malaysia
Maiores Enim,Ocean Network Express,2003,4300,Swaziland,101,Algeciras,Spain,Busan,South Korea
Quod Magnam,Hapag-Lloyd,1975,3800,Portugal,61,Laem Chabang,Thailand,Hamburg,Germany
Ullam Veniam,COSCO Shipping,2019,9400,Sao Tome and Principe,89,Piraeus,Greece,Ningbo-Zhoushan,China
Ipsam Dolorem,Ocean Network Express,1952,5800,Saint Barthelemy,80,Guangzhou Harbor,China,Mundra,India
Assumenda Sint,Pacific International Lines,2011,15600,Puerto Rico,55,Singapore,Singapore,Busan,South Korea
Laudantium Ut,Evergreen Marine,2001,15200,Guatemala,32,Shanghai,China,Busan,South Korea
Officia Quasi,Hyundai Merchant Marine,1990,16900,Jamaica,47,Shanghai,China,Long Beach,U.S.A.
Praesentium Deleniti,Mediterranean Shipping Company,1950,13900,Niue,66,Ningbo-Zhoushan,China,Tanjung Priok,Indonesia
Suscipit Quo,Mediterranean Shipping Company,1978,16200,Austria,45,Antwerp,Belgium,Kaohsiung,Taiwan
Quos Sed,Wan Hai Lines,2018,6700,Samoa,115,Hong Kong,China,Long Beach,U.S.A.
Quo Illo,COSCO Shipping,1953,17400,French Guiana,50,Long Beach,U.S.A.,Tanger Med,Morocco
Modi Dolores,Regional Container Lines,2007,11000,Cook Islands,57,Qingdao,China,Ho Chi Minh City,Vietnam
Odit Itaque,Mediterranean Shipping Company,2017,14100,Papua New Guinea,113,Marsaxlokk,Malta,Tianjin,China
Molestiae Blanditiis,CMA CGM,2021,3100,Latvia,87,Shanghai,China,Busan,South Korea
Mollitia Laborum,Swire,2000,10400,Afghanistan,74,Tokyo,Japan,Shanghai,China
Sit Sint,Maersk,2002,5900,Martinique,89,Shanghai,China,Vancouver,Canada
Exercitationem Ea,Maersk,1974,6300,United States Minor Outlying Islands,58,Guangzhou Harbor,China,Singapore,Singapore
Quae Amet,Shandong International Transportation Corporation,1977,10000,Dominican Republic,24,Shanghai,China,Manila,Philippines
Placeat Omnis,COSCO Shipping,2018,8500,Heard Island and McDonald Islands,109,Tanjung Priok,Indonesia,Savannah,U.S.A.
Cum Quis,COSCO Shipping,1986,5400,Belarus,21,Lianyunguang,China,New York-New Jersey,U.S.A.
Totam Unde,Maersk,1951,16800,Azerbaijan,108,Ningbo-Zhoushan,China,Long Beach,U.S.A.
Perspiciatis Est,Matson,2014,4800,Martinique,86,Shanghai,China,Antwerp,Belgium
Ullam Sint,Mediterranean Shipping Company,1950,8100,Russian Federation,60,Rotterdam,The Netherlands,Shanghai,China
Molestiae Culpa,TS Lines,2015,4400,Cyprus,116,Tanger Med,Morocco,Shenzhen,China
In Sed,Mediterranean Shipping Company,2021,10900,Saudi Arabia,68,Jebel Ali,United Arab Emirates,Singapore,Singapore
Repellendus Et,Antong Holdings (QASC),1954,8600,Slovenia,23,Shenzhen,China,Colombo,Sri Lanka
Optio Expedita,X-Press Feeders,2008,9800,Cuba,20,Ningbo-Zhoushan,China,Jawarharlal Nehru Port (Nhava Sheva),India
Fugit Perspiciatis,Pacific International Lines,2001,3100,Lao People's Democratic Republic,30,Laem Chabang,Thailand,Shanghai,China
Accusantium Minima,Maersk,1995,5900,Faroe Islands,115,Hong Kong,China,Seattle-Tacoma NW Seaport Alliance,U.S.A.
Accusantium Laboriosam,CMA CGM,2011,17400,Nicaragua,35,Los Angeles,U.S.A.,Keihin Ports,Japan
Voluptas Consequuntur,Unifeeder,2018,6600,Sri Lanka,94,Hong Kong,China,Port Klang,Malaysia
Eius Veniam,Pacific International Lines,1994,5900,Algeria,94,Laem Chabang,Thailand,Shenzhen,China
Deleniti Est,Hapag-Lloyd,2020,5400,Barbados,35,Bremen/Bremerhaven,Germany,Shanghai,China
Perferendis Quod,Maersk,2011,12200,Jordan,113,Busan,South Korea,Shanghai,China
Dolores Dolorem,Maersk,1969,8600,Kuwait,42,Rotterdam,The Netherlands,Guangzhou Harbor,China
Rerum Sunt,Zim Integrated Shipping Services,2002,2800,Canada,110,Busan,South Korea,Shenzhen,China
Quod Impedit,Evergreen Marine,2009,17800,Belarus,72,Qingdao,China,Tanger Med,Morocco
Perspiciatis Voluptas,Maersk,1962,11600,Holy See (Vatican City State),81,Singapore,Singapore,Hong Kong,China
Et Iste,Shandong International Transportation Corporation,1996,11800,Belize,95,Kaohsiung,Taiwan,Busan,South Korea
Sit Molestiae,Mediterranean Shipping Company,1951,9000,United Kingdom,23,Ningbo-Zhoushan,China,Piraeus,Greece
Sunt Soluta,Mediterranean Shipping Company,1956,4500,Armenia,23,Hamburg,Germany,Antwerp,Belgium
Quidem Non,Sinotrans,1956,14400,Slovakia (Slovak Republic),93,Hong Kong,China,Singapore,Singapore
Deleniti Perferendis,Zhonggu Logistics,1967,18000,Wallis and Futuna,101,Antwerp,Belgium,Shenzhen,China
Culpa Tenetur,COSCO Shipping,1958,9800,Ireland,50,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Santos,Brazil
Labore Sint,Hapag-Lloyd,1989,16400,Marshall Islands,71,Ningbo-Zhoushan,China,Long Beach,U.S.A.
Doloremque Laudantium,Hapag-Lloyd,1997,17100,Barbados,101,Busan,South Korea,Salalah,Oman
Necessitatibus Exercitationem,Evergreen Marine,2003,5700,Luxembourg,34,Port Klang,Malaysia,Ho Chi Minh City,Vietnam
Iure Hic,Antong Holdings (QASC),1984,13000,Bolivia,20,Long Beach,U.S.A.,Jebel Ali,United Arab Emirates
Voluptatem Dicta,CMA CGM,2012,15000,Guernsey,72,Port Klang,Malaysia,Qingdao,China
Iure Dignissimos,Wan Hai Lines,1952,5000,Monaco,22,Port Klang,Malaysia,Shanghai,China
Fugiat Ea,Antong Holdings (QASC),1971,4800,Micronesia,65,Singapore,Singapore,Colombo,Sri Lanka
Distinctio Harum,Maersk,1970,9100,Gabon,49,Shenzhen,China,Algeciras,Spain
Quis Officiis,Sinotrans,1990,3000,Dominican Republic,88,Qingdao,China,Singapore,Singapore
Tenetur Sint,COSCO Shipping,1967,9800,Central African Republic,103,Jawarharlal Nehru Port (Nhava Sheva),India,Tanjung Pelepas,Malaysia
Aspernatur Rerum,CMA CGM,2020,13900,Pitcairn Islands,54,Shanghai,China,Seattle-Tacoma NW Seaport Alliance,U.S.A.
Quis Id,Zhonggu Logistics,2020,15000,Egypt,101,Savannah,U.S.A.,Dalian,China
Impedit Quos,Maersk,2003,17200,Christmas Island,85,Jeddah,Saudi Arabia,Guangzhou Harbor,China
Quaerat Debitis,Mediterranean Shipping Company,1953,17700,Egypt,26,Shenzhen,China,Singapore,Singapore
Laborum Aut,Ocean Network Express,2001,11200,Chad,58,Shanghai,China,Singapore,Singapore
Beatae Nostrum,COSCO Shipping,1955,4900,Ghana,74,Hamburg,Germany,Laem Chabang,Thailand
Fugit Ut,CMA CGM,1964,10400,Bosnia and Herzegovina,116,Antwerp,Belgium,Jebel Ali,United Arab Emirates
Alias Natus,Mediterranean Shipping Company,1951,9500,Central African Republic,112,Ningbo-Zhoushan,China,Piraeus,Greece
Mollitia Nam,Pacific International Lines,1973,2200,Cape Verde,86,Busan,South Korea,Kaohsiung,Taiwan
Maxime Quas,Shandong International Transportation Corporation,1986,8100,Anguilla,27,Felixstowe,U.K.,Colon,Panama
Quaerat Sunt,Zim Integrated Shipping Services,2002,10300,Netherlands,51,Ho Chi Minh City,Vietnam,Singapore,Singapore
Officia Velit,CMA CGM,1964,10600,French Guiana,41,Rizhao,China,Tanjung Pelepas,Malaysia
Officiis Nam,IRISL Group,2015,15300,Rwanda,64,Mundra,India,Lianyunguang,China
Et Ipsa,Sinotrans,2003,14100,Canada,116,Shanghai,China,Los Angeles,U.S.A.
Dicta Exercitationem,Maersk,1972,15300,Peru,28,Shanghai,China,Ho Chi Minh City,Vietnam
Fugit Hic,Evergreen Marine,2019,8100,Libyan Arab Jamahiriya,20,Port Klang,Malaysia,Jebel Ali,United Arab Emirates
Est Deleniti,COSCO Shipping,1962,15500,Bosnia and Herzegovina,29,Tianjin,China,Los Angeles,U.S.A.
Alias Voluptas,IRISL Group,1959,4000,Cayman Islands,38,Rotterdam,The Netherlands,Ningbo-Zhoushan,China
Ut Natus,Zim Integrated Shipping Services,2010,16200,Heard Island and McDonald Islands,28,Busan,South Korea,Guangzhou Harbor,China
Pariatur Distinctio,Wan Hai Lines,2018,6000,Bosnia and Herzegovina,59,Singapore,Singapore,Shanghai,China
Explicabo Doloribus,Hapag-Lloyd,1998,10900,Mauritius,69,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Jawarharlal Nehru Port (Nhava Sheva),India
Suscipit Saepe,Zhonggu Logistics,1996,9800,Bolivia,23,Shanghai,China,Long Beach,U.S.A.
Veritatis Aperiam,Arkas Container Transport,1977,13700,Angola,91,Shanghai,China,Jawarharlal Nehru Port (Nhava Sheva),India
Quaerat Maiores,X-Press Feeders,1975,7500,Hong Kong,23,Barcelona,Spain,Tokyo,Japan
Quisquam Unde,Antong Holdings (QASC),2002,12400,Afghanistan,35,Piraeus,Greece,Busan,South Korea
Debitis Voluptatum,Unifeeder,1999,7400,American Samoa,58,Hong Kong,China,Tanjung Priok,Indonesia
Enim Dolore,Maersk,1973,5500,Portugal,37,Xiamen,China,Marsaxlokk,Malta
Omnis Ex,Evergreen Marine,1976,16800,Serbia,53,Shenzhen,China,Laem Chabang,Thailand
Quos Similique,Salam Pacific Indonesia Lines,1969,11800,Hong Kong,104,Ningbo-Zhoushan,China,Savannah,U.S.A.
Saepe Ea,Maersk,1998,11600,Croatia,54,Guangzhou Harbor,China,Kaohsiung,Taiwan
Deleniti Ea,CMA CGM,1958,4500,Kenya,38,Tanjung Priok,Indonesia,Qingdao,China
Ut Porro,Hapag-Lloyd,1996,9400,Mongolia,25,Shanghai,China,Hamburg,Germany
Illum Sit,Swire,2009,4600,Benin,81,Hanshin Port,Japan,Manila,Philippines
Dolor Illo,Shandong International Transportation Corporation,1976,5800,Tanzania,29,Laem Chabang,Thailand,Hong Kong,China
Voluptatem Sed,Hapag-Lloyd,1980,4600,South Georgia and the South Sandwich Islands,81,Rotterdam,The Netherlands,Shanghai,China
Perspiciatis Quasi,COSCO Shipping,1950,12100,Norway,39,Long Beach,U.S.A.,Marsaxlokk,Malta
Exercitationem Harum,Maersk,2008,11000,Gambia,63,Singapore,Singapore,Port Klang,Malaysia
Rerum Quos,Evergreen Marine,1979,16000,Colombia,23,Xiamen,China,Antwerp,Belgium
Qui Rem,CMA CGM,1967,1700,Fiji,27,Shanghai,China,Kaohsiung,Taiwan
Eos Dignissimos,Ocean Network Express,1952,3700,Senegal,64,Ningbo-Zhoushan,China,Hamburg,Germany
Dicta Voluptate,Mediterranean Shipping Company,1966,16900,New Zealand,116,Shanghai,China,Busan,South Korea
Excepturi Deleniti,Maersk,1980,17000,Bulgaria,72,New York-New Jersey,U.S.A.,Laem Chabang,Thailand
Consectetur In,Wan Hai Lines,2021,15600,Cyprus,22,Long Beach,U.S.A.,Shanghai,China
Eveniet Ipsa,Maersk,1955,17400,Solomon Islands,84,Guangzhou Harbor,China,Vancouver,Canada
Repellat Possimus,X-Press Feeders,1994,8300,Cameroon,34,Ningbo-Zhoushan,China,Rotterdam,The Netherlands
Libero Voluptates,Pacific International Lines,2013,4300,Northern Mariana Islands,113,Busan,South Korea,Jebel Ali,United Arab Emirates
Ea Voluptatem,Maersk,2013,3000,Swaziland,101,Shanghai,China,Jebel Ali,United Arab Emirates
Qui Deleniti,Hapag-Lloyd,1998,8100,French Guiana,47,Los Angeles,U.S.A.,Xiamen,China
Aut Veniam,CMA CGM,2008,10800,Armenia,96,Vancouver,Canada,Tianjin,China
Adipisci Necessitatibus,CMA CGM,1995,8300,Estonia,74,Tokyo,Japan,Bremen/Bremerhaven,Germany
Ab Esse,Hyundai Merchant Marine,1982,4800,Belize,109,Long Beach,U.S.A.,Port Klang,Malaysia
Laudantium Corporis,Antong Holdings (QASC),1961,9000,Bhutan,35,Port Klang,Malaysia,Guangzhou Harbor,China
Vitae Ab,COSCO Shipping,2012,7100,Italy,96,Ho Chi Minh City,Vietnam,Tianjin,China
Maiores Exercitationem,Mediterranean Shipping Company,1972,5800,Republic of Korea,33,Shanghai,China,Jebel Ali,United Arab Emirates
Assumenda Eum,Shandong International Transportation Corporation,2011,5900,India,46,Port Klang,Malaysia,New York-New Jersey,U.S.A.
Nobis Non,Evergreen Marine,1982,7800,Jamaica,85,Hong Kong,China,Rotterdam,The Netherlands
Voluptatem Non,CMA CGM,2003,8700,United States Minor Outlying Islands,96,Ningbo-Zhoushan,China,Cai Mep,Vietnam
Esse Doloremque,Maersk,2019,3500,San Marino,42,Jawarharlal Nehru Port (Nhava Sheva),India,Hong Kong,China
Corporis Magnam,Hapag-Lloyd,1995,13200,Croatia,77,Shenzhen,China,Port Klang,Malaysia
Magni Facilis,Maersk,1997,17800,Tonga,44,Shanghai,China,Colombo,Sri Lanka
Ut Reprehenderit,Pacific International Lines,1988,8700,Fiji,41,Rotterdam,The Netherlands,Singapore,Singapore
Ullam Est,Evergreen Marine,1953,14800,Qatar,82,Shenzhen,China,Singapore,Singapore
Unde Cumque,Maersk,1971,3000,Ecuador,63,Lianyunguang,China,Antwerp,Belgium
Fuga Asperiores,Hyundai Merchant Marine,1998,7500,Saint Kitts and Nevis,36,Singapore,Singapore,Rizhao,China
Deserunt Ut,Maersk,1988,9000,Paraguay,21,Laem Chabang,Thailand,Dalian,China
Numquam Quam,Sinokor Merchant Marine,1959,10600,Kiribati,62,Marsaxlokk,Malta,Barcelona,Spain
Ut Corrupti,COSCO Shipping,1966,11700,Ghana,101,Shanghai,China,Singapore,Singapore
Minima Recusandae,Ocean Network Express,1951,17100,Honduras,105,Bremen/Bremerhaven,Germany,Busan,South Korea
Ipsum Nulla,Ocean Network Express,1976,17800,Niue,66,Shenzhen,China,Cai Mep,Vietnam
Aliquid Odio,Mediterranean Shipping Company,1977,1800,Netherlands,43,Yingkou,China,Singapore,Singapore
Delectus Nulla,Zim Integrated Shipping Services,1961,3000,Iran,54,Jeddah,Saudi Arabia,Antwerp,Belgium
Dolor Repudiandae,Mediterranean Shipping Company,2004,8700,Peru,77,Ningbo-Zhoushan,China,Piraeus,Greece
A Quo,Zhonggu Logistics,1983,11400,Latvia,23,Xiamen,China,Jebel Ali,United Arab Emirates
Voluptatem Ipsa,Korea Marine Transport Company [de],1953,9800,Greenland,80,Piraeus,Greece,Rotterdam,The Netherlands
Repellat Dolores,Shandong International Transportation Corporation,2001,4400,Mongolia,110,Shanghai,China,Colombo,Sri Lanka
Ut Vero,Maersk,1982,11400,Pakistan,27,Qingdao,China,Antwerp,Belgium
Veniam Tempore,Maersk,1974,6900,Isle of Man,97,Yingkou,China,Port Klang,Malaysia
Labore Expedita,Hapag-Lloyd,1955,3400,Kuwait,96,Tanger Med,Morocco,Dalian,China
Illum Dolor,Maersk,1957,15800,Wallis and Futuna,33,Tanjung Pelepas,Malaysia,Shanghai,China
Nihil Sunt,Maersk,1995,6900,Bangladesh,22,Los Angeles,U.S.A.,Shanghai,China
Ipsum Voluptatum,CMA CGM,1982,7000,Libyan Arab Jamahiriya,101,Tianjin,China,Hanshin Port,Japan
Eos Maxime,COSCO Shipping,2008,17700,Cuba,66,Los Angeles,U.S.A.,Busan,South Korea
Maiores Porro,Maersk,1996,6700,Lao People's Democratic Republic,49,Ningbo-Zhoushan,China,Kaohsiung,Taiwan
Odio Sed,Zhonggu Logistics,1967,10300,Trinidad and Tobago,85,Shenzhen,China,Singapore,Singapore
Nisi Suscipit,Hyundai Merchant Marine,1960,9100,Seychelles,102,Qingdao,China,Rotterdam,The Netherlands
Alias Sapiente,IRISL Group,1979,9800,Bhutan,42,Hong Kong,China,Colombo,Sri Lanka
Similique Ut,X-Press Feeders,1959,17400,Andorra,115,Shanghai,China,Long Beach,U.S.A.
Numquam Voluptas,COSCO Shipping,1973,10500,Hong Kong,52,Jeddah,Saudi Arabia,Qingdao,China
Nihil Totam,Matson,1986,9800,Cayman Islands,77,Rotterdam,The Netherlands,Long Beach,U.S.A.
Reprehenderit Aut,Ocean Network Express,1950,16300,Cambodia,106,Shanghai,China,Ho Chi Minh City,Vietnam
Qui Enim,Matson,1988,10700,Egypt,47,Shanghai,China,Tanjung Pelepas,Malaysia
Optio Enim,X-Press Feeders,2010,14100,Peru,29,Kaohsiung,Taiwan,Colombo,Sri Lanka
Consectetur Fugiat,Sinotrans,1951,6100,Poland,104,New York-New Jersey,U.S.A.,Port Klang,Malaysia
Corrupti Autem,Shandong International Transportation Corporation,1980,4600,Argentina,105,Ningbo-Zhoushan,China,Colombo,Sri Lanka
Aliquid Perspiciatis,CMA CGM,1963,8700,Lesotho,88,Busan,South Korea,Jawarharlal Nehru Port (Nhava Sheva),India
Voluptatibus Porro,Zhonggu Logistics,2007,9000,Cuba,89,Piraeus,Greece,Tanjung Priok,Indonesia
Id Fugit,Pacific International Lines,1966,13700,Ireland,120,Busan,South Korea,Ningbo-Zhoushan,China
Aut Omnis,Maersk,1976,3200,Estonia,75,Vancouver,Canada,Los Angeles,U.S.A.
Numquam Repellat,CMA CGM,2016,1500,Kuwait,116,Rizhao,China,New York-New Jersey,U.S.A.
Nulla Facilis,CMA CGM,1961,14600,Cook Islands,43,Keihin Ports,Japan,Laem Chabang,Thailand
Cumque Error,Pacific International Lines,1997,2100,Namibia,92,Kaohsiung,Taiwan,Shenzhen,China
Debitis Maiores,Mediterranean Shipping Company,2012,6100,Germany,63,Shanghai,China,Cai Mep,Vietnam
Dolores Itaque,Mediterranean Shipping Company,1994,3700,Guatemala,74,New York-New Jersey,U.S.A.,Santos,Brazil
Tempora Iusto,Hapag-Lloyd,1995,5800,United Kingdom,91,New York-New Jersey,U.S.A.,Algeciras,Spain
Sunt Itaque,Global Feeder Shipping,2020,13600,Nigeria,100,Singapore,Singapore,Rotterdam,The Netherlands
Dolore Delectus,Mediterranean Shipping Company,1970,10900,Tuvalu,99,Singapore,Singapore,Hong Kong,China
Incidunt Et,Mediterranean Shipping Company,1981,9300,Guatemala,97,Rotterdam,The Netherlands,Qingdao,China
Consequatur Ratione,Wan Hai Lines,2002,6600,Bhutan,76,Shenzhen,China,Rotterdam,The Netherlands
Qui Alias,CMA CGM,1975,13100,Comoros,60,Port Klang,Malaysia,Dalian,China
Et Quis,Mediterranean Shipping Company,2014,8200,British Indian Ocean Territory (Chagos Archipelago),32,Yingkou,China,Salalah,Oman
Iste Enim,COSCO Shipping,1957,13500,Australia,112,Jebel Ali,United Arab Emirates,Antwerp,Belgium
Sunt Autem,CMA CGM,1967,8100,Sao Tome and Principe,74,Shanghai,China,Port Klang,Malaysia
Voluptates Voluptatibus,Ocean Network Express,1960,17300,Senegal,59,Lianyunguang,China,Busan,South Korea
Libero Minima,Mediterranean Shipping Company,1989,7700,Saint Helena,44,Ningbo-Zhoushan,China,New York-New Jersey,U.S.A.
Ducimus Quia,CMA CGM,1981,9700,Panama,56,Jebel Ali,United Arab Emirates,Rotterdam,The Netherlands
Voluptatem Voluptatem,Mediterranean Shipping Company,1991,16500,Belarus,27,Busan,South Korea,Laem Chabang,Thailand
Dignissimos Et,CMA CGM,1969,6700,United Arab Emirates,110,Dongguan,China,Algeciras,Spain
Maiores Accusantium,Mediterranean Shipping Company,1957,9500,Austria,47,Guangzhou Harbor,China,Tanjung Pelepas,Malaysia
Voluptatem Architecto,Maersk,2011,16300,Congo,71,Tanjung Pelepas,Malaysia,Shenzhen,China
Quo Rerum,Maersk,2006,8200,Fiji,91,Tianjin,China,Singapore,Singapore
Incidunt Velit,Mediterranean Shipping Company,1990,16100,Seychelles,56,Tanjung Pelepas,Malaysia,Shenzhen,China
Nisi Commodi,Maersk,1980,6600,Kiribati,80,Singapore,Singapore,Shenzhen,China
Blanditiis Similique,Mediterranean Shipping Company,2007,4400,Tunisia,62,Colombo,Sri Lanka,Savannah,U.S.A.
Laborum Voluptates,Maersk,1990,4800,Saint Lucia,44,Guangzhou Harbor,China,Bremen/Bremerhaven,Germany
Deserunt Veritatis,Maersk,1992,10700,Latvia,116,Singapore,Singapore,Qingdao,China
Id Dolore,Mediterranean Shipping Company,1965,13800,Antigua and Barbuda,37,Xiamen,China,Tanjung Pelepas,Malaysia
Eum Quia,Maersk,1960,10800,Ecuador,107,Keihin Ports,Japan,Tianjin,China
Aut Quos,Evergreen Marine,1995,5500,American Samoa,44,Port Klang,Malaysia,Felixstowe,U.K.
Ex Qui,Mediterranean Shipping Company,1996,14200,Austria,51,Shenzhen,China,Savannah,U.S.A.
Quae Vero,COSCO Shipping,1964,9800,Slovenia,93,Guangzhou Harbor,China,Busan,South Korea
A Magnam,Maersk,2016,15000,Tunisia,67,Barcelona,Spain,Ningbo-Zhoushan,China
Esse Ad,CMA CGM,2003,5300,Argentina,92,Hong Kong,China,Long Beach,U.S.A.
Qui Sit,COSCO Shipping,1952,14800,Monaco,20,Busan,South Korea,Kaohsiung,Taiwan
Ex Similique,Yang Ming Marine Transport Corporation,2002,8600,Hong Kong,55,Jebel Ali,United Arab Emirates,Long Beach,U.S.A.
Ullam Dolorum,Hapag-Lloyd,2003,6700,Poland,25,Keihin Ports,Japan,Antwerp,Belgium
Mollitia Fugit,CMA CGM,1988,7900,Luxembourg,108,Marsaxlokk,Malta,Port Klang,Malaysia
Dolorem Totam,Mediterranean Shipping Company,1977,11200,Gibraltar,80,Shanghai,China,Singapore,Singapore
Adipisci Culpa,X-Press Feeders,1970,7600,South Georgia and the South Sandwich Islands,31,Hamburg,Germany,Xiamen,China
Sed Non,TS Lines,1999,9500,Zambia,78,Tianjin,China,Colon,Panama
Libero Ducimus,Salam Pacific Indonesia Lines,1990,4100,Guernsey,52,Tanjung Priok,Indonesia,Ho Chi Minh City,Vietnam
Alias Omnis,Maersk,1989,7500,Chile,42,Fuzhou,China,Rotterdam,The Netherlands
Non Harum,Korea Marine Transport Company [de],2019,9100,Hungary,75,Felixstowe,U.K.,Qingdao,China
Eum Saepe,Hapag-Lloyd,1952,11700,Myanmar,109,Shanghai,China,Busan,South Korea
Labore Magni,CMA CGM,1953,17600,Moldova,100,Shanghai,China,Laem Chabang,Thailand
Recusandae Nihil,Mediterranean Shipping Company,2016,12800,Sao Tome and Principe,52,Vancouver,Canada,Busan,South Korea
Repellat Quia,Zim Integrated Shipping Services,1953,2600,Palestinian Territory,85,Shanghai,China,Singapore,Singapore
Eaque Molestiae,Ocean Network Express,1970,16800,Luxembourg,68,Hong Kong,China,Mundra,India
Ut Eligendi,Pacific International Lines,1963,15300,Costa Rica,51,Shanghai,China,Busan,South Korea
Consequatur Magnam,Maersk,1999,4600,French Guiana,43,Bremen/Bremerhaven,Germany,Shanghai,China
Similique Ea,Shandong International Transportation Corporation,1956,7600,Sao Tome and Principe,69,Hamburg,Germany,Shenzhen,China
Esse Similique,Hapag-Lloyd,1958,9000,Austria,107,Bremen/Bremerhaven,Germany,Qingdao,China
Quasi Non,Yang Ming Marine Transport Corporation,1992,18000,Saint Lucia,90,Tianjin,China,Los Angeles,U.S.A.
Reiciendis Quam,Shandong International Transportation Corporation,2003,16600,Christmas Island,58,Barcelona,Spain,New York-New Jersey,U.S.A.
Est Expedita,Maersk,2013,8100,Yemen,60,Tanjung Priok,Indonesia,Dalian,China
Nemo Odit,Maersk,2011,9000,Nepal,27,Jebel Ali,United Arab Emirates,Shanghai,China
Velit Molestias,Antong Holdings (QASC),2015,1600,United Arab Emirates,81,Ho Chi Minh City,Vietnam,Singapore,Singapore
Placeat Debitis,Maersk,2009,5200,Croatia,80,Xiamen,China,Bremen/Bremerhaven,Germany
Odio Eos,Antong Holdings (QASC),2011,17200,Gambia,97,Tianjin,China,Rotterdam,The Netherlands
Facere Vel,CMA CGM,2004,7600,Cocos (Keeling) Islands,96,Shanghai,China,Singapore,Singapore
Doloribus Voluptatem,Maersk,1969,14000,Argentina,97,Shenzhen,China,Tanjung Priok,Indonesia
Perspiciatis Voluptatem,COSCO Shipping,1993,13700,Sudan,80,New York-New Jersey,U.S.A.,Ningbo-Zhoushan,China
Maiores Consectetur,Ocean Network Express,1989,6100,Guyana,102,Guangzhou Harbor,China,Hanshin Port,Japan
Aut Reprehenderit,Salam Pacific Indonesia Lines,1951,16200,Trinidad and Tobago,46,Shenzhen,China,Singapore,Singapore
Cumque Minima,Sinokor Merchant Marine,1998,2200,Chad,20,Tanjung Priok,Indonesia,Port Klang,Malaysia
Minima Nihil,COSCO Shipping,2008,6100,Jamaica,84,Shanghai,China,Barcelona,Spain
Consequatur Reiciendis,Evergreen Marine,1999,9200,Guinea-Bissau,110,Qingdao,China,Vancouver,Canada
Dolor Distinctio,COSCO Shipping,1969,6200,South Georgia and the South Sandwich Islands,57,Jebel Ali,United Arab Emirates,Guangzhou Harbor,China
Quisquam Reprehenderit,Hapag-Lloyd,1973,6900,Kuwait,34,Shenzhen,China,Rotterdam,The Netherlands
Consectetur Eveniet,COSCO Shipping,2017,17400,Sierra Leone,28,Shanghai,China,Tanjung Priok,Indonesia
Pariatur Nemo,CMA CGM,1990,11700,South Africa,56,Rotterdam,The Netherlands,Antwerp,Belgium
Labore Pariatur,Mediterranean Shipping Company,1971,6600,Gambia,40,Jebel Ali,United Arab Emirates,Shanghai,China
Vel Tenetur,Korea Marine Transport Company [de],2005,7400,Martinique,34,Jebel Ali,United Arab Emirates,Yingkou,China
Odio Consectetur,X-Press Feeders,2017,8500,Saint Barthelemy,66,Salalah,Oman,Felixstowe,U.K.
Maxime Rerum,Zhonggu Logistics,2005,17500,Guernsey,76,Shenzhen,China,Keihin Ports,Japan
Voluptatem Facilis,Evergreen Marine,1972,16000,Lithuania,108,Guangzhou Harbor,China,Port Klang,Malaysia
Sint Enim,CMA CGM,1951,13100,Philippines,101,Guangzhou Harbor,China,Jebel Ali,United Arab Emirates
Veritatis Id,Maersk,1983,10500,Romania,73,Port Klang,Malaysia,Antwerp,Belgium
Optio Quis,Regional Container Lines,1978,12800,Jersey,118,Port Klang,Malaysia,Santos,Brazil
Facilis Aut,Wan Hai Lines,1992,1200,Poland,40,Shanghai,China,Singapore,Singapore
Recusandae Quisquam,COSCO Shipping,2020,11300,Kazakhstan,31,Shanghai,China,Santos,Brazil
Consequatur Laboriosam,Ocean Network Express,2010,17500,Oman,59,Colon,Panama,Jeddah,Saudi Arabia
Fuga Aspernatur,Maersk,2006,16500,Thailand,35,Singapore,Singapore,Qingdao,China
Ut Sapiente,Maersk,1984,12300,Spain,87,Antwerp,Belgium,Tanjung Pelepas,Malaysia
Quaerat Doloremque,CMA CGM,1963,12400,Angola,77,Shenzhen,China,Mundra,India
Non Sequi,Maersk,1976,15200,Isle of Man,119,Singapore,Singapore,Jebel Ali,United Arab Emirates
Soluta Tempore,Hyundai Merchant Marine,2008,10200,Anguilla,111,Guangzhou Harbor,China,Singapore,Singapore
Cum Officia,Maersk,2011,6700,Russian Federation,31,Guangzhou Harbor,China,Singapore,Singapore
Nemo Est,X-Press Feeders,2017,9400,Guyana,24,Los Angeles,U.S.A.,Busan,South Korea
Excepturi Sint,Hyundai Merchant Marine,1965,11800,Armenia,28,Qingdao,China,Tanger Med,Morocco
Non Nisi,CMA CGM,1962,15300,French Guiana,27,Kaohsiung,Taiwan,Rotterdam,The Netherlands
